Date,Close,High,Low,Open,Volume,Symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
2022-08-17,,,,,,ETH-USD,1832.9996337890625,1951.6756591796875,1823.5322265625,1877.934326171875,20308508124.0,,,,,
2022-08-18,,,,,,ETH-USD,1847.0078125,1876.376953125,1826.957763671875,1833.715576171875,14999352229.0,,,,,
2022-08-19,,,,,,ETH-USD,1612.9873046875,1847.0953369140625,1611.3388671875,1847.0953369140625,25906358731.0,,,,,
2022-08-20,,,,,,ETH-USD,1577.0037841796875,1652.21875,1534.298828125,1612.650634765625,18334580263.0,,,,,
2022-08-21,,,,,,ETH-USD,1619.3189697265625,1640.9365234375,1569.0465087890625,1576.5435791015625,15849221752.0,,,,,
2022-08-22,,,,,,ETH-USD,1622.505859375,1622.77880859375,1535.0147705078125,1619.1668701171875,18557078599.0,,,,,
2022-08-23,,,,,,ETH-USD,1662.7698974609375,1666.676513671875,1569.4285888671875,1622.9393310546875,18322041914.0,,,,,
2022-08-24,,,,,,ETH-USD,1657.0592041015625,1686.5577392578125,1610.0992431640625,1662.6954345703125,16780932907.0,,,,,
2022-08-25,,,,,,ETH-USD,1696.45703125,1718.1832275390625,1656.8560791015625,1657.3365478515625,14818795695.0,,,,,
2022-08-26,,,,,,ETH-USD,1507.7828369140625,1698.56103515625,1498.771240234375,1696.3245849609375,26713710143.0,,,,,
2022-08-27,,,,,,ETH-USD,1491.39501953125,1517.1500244140625,1454.282958984375,1508.156982421875,18120831899.0,,,,,
2022-08-28,,,,,,ETH-USD,1430.54736328125,1505.7919921875,1430.54736328125,1491.206787109375,12823572918.0,,,,,
2022-08-29,,,,,,ETH-USD,1553.037353515625,1556.3095703125,1427.7283935546875,1430.439453125,17965837488.0,,,,,
2022-08-30,,,,,,ETH-USD,1523.8388671875,1600.461181640625,1480.831787109375,1553.18896484375,21835784470.0,,,,,
2022-08-31,,,,,,ETH-USD,1553.6849365234375,1612.35888671875,1524.2864990234375,1524.2864990234375,20591680941.0,,,,,
2022-09-01,,,,,,ETH-USD,1586.1767578125,1593.082763671875,1520.1883544921875,1553.75634765625,16434276817.0,,,,,
2022-09-02,,,,,,ETH-USD,1577.220458984375,1643.1832275390625,1551.8779296875,1586.0179443359375,17708478709.0,,,,,
2022-09-03,,,,,,ETH-USD,1556.8726806640625,1579.454345703125,1541.672119140625,1577.2137451171875,9516825994.0,,,,,
2022-09-04,,,,,,ETH-USD,1577.6416015625,1578.00927734375,1543.6988525390625,1556.8958740234375,8884144998.0,,,,,
2022-09-05,,,,,,ETH-USD,1617.1832275390625,1621.661376953125,1559.7818603515625,1577.884033203125,13060541168.0,,,,,
2022-09-06,,,,,,ETH-USD,1561.74853515625,1680.5953369140625,1561.74853515625,1617.240234375,22946059125.0,,,,,
2022-09-07,,,,,,ETH-USD,1629.9063720703125,1651.0511474609375,1500.013671875,1560.90673828125,19560363854.0,,,,,
